1,1,'Important','This message is important','red',1,'2024-04-03 12:25:02.677375',1,NULL,true,'message',1,'general',"'{""keyword"": ""important"", ""context"": ""urgency""}'",'{}','192.168.0.1','Desktop','New York'
2,2,'Promotion','Promotional message','blue',2,'2024-04-03 12:25:02.677375',2,NULL,true,'message',2,'general',"'{""keyword"": ""promotion"", ""context"": ""marketing""}'",'{}','10.0.0.1','Laptop','Los Angeles'
3,3,'Reminder','Reminder message','yellow',3,'2024-04-03 12:25:02.677375',3,NULL,true,'message',3,'general',"'{""keyword"": ""reminder"", ""context"": ""time-sensitive""}'",'{}','172.16.0.1','Desktop','Chicago'
4,4,'Urgent','Urgent message','orange',4,'2024-04-03 12:25:02.677375',4,NULL,true,'message',4,'general',"'{""keyword"": ""urgent"", ""context"": ""importance""}'",'{}','192.168.1.1','Laptop','Houston'
5,5,'Event','Message related to an event','green',5,'2024-04-03 12:25:02.677375',5,NULL,true,'message',5,'general',"'{""keyword"": ""event"", ""context"": ""occasion""}'",'{}','10.1.1.1','Desktop','Phoenix'
6,6,'Question','Message contains a question','purple',6,'2024-04-03 12:25:02.677375',6,NULL,true,'message',6,'general',"'{""keyword"": ""question"", ""context"": ""inquiry""}'",'{}','172.16.0.2','Desktop','Philadelphia'
7,7,'Answer','Message contains an answer','cyan',7,'2024-04-03 12:25:02.677375',7,NULL,true,'message',7,'general',"'{""keyword"": ""answer"", ""context"": ""response""}'",'{}','192.168.2.1','Desktop','San Antonio'
8,8,'Issue','Message regarding an issue','magenta',8,'2024-04-03 12:25:02.677375',8,NULL,true,'message',8,'general',"'{""keyword"": ""issue"", ""context"": ""problem""}'",'{}','10.2.2.2','Laptop','San Diego'
9,9,'Feedback','Message contains feedback','teal',9,'2024-04-03 12:25:02.677375',9,NULL,true,'message',9,'general',"'{""keyword"": ""feedback"", ""context"": ""response""}'",'{}','172.16.0.3','Desktop','Dallas'
10,10,'Update','Message contains an update','lime',10,'2024-04-03 12:25:02.677375',10,NULL,true,'message',10,'general',"'{""keyword"": ""update"", ""context"": ""information""}'",'{}','192.168.3.1','Desktop','San Jose'
11,11,'Announcement','Message is an announcement','pink',11,'2024-04-03 12:25:02.677375',11,NULL,true,'message',11,'general',"'{""keyword"": ""announcement"", ""context"": ""notification""}'",'{}','10.3.3.1','Laptop','Austin'
12,12,'Feedback','Feedback message','indigo',12,'2024-04-03 12:25:02.677375',12,NULL,true,'message',12,'general',"'{""keyword"": ""feedback"", ""context"": ""response""}'",'{}','172.16.0.4','Desktop','Jacksonville'
13,13,'Alert','Message is an alert','brown',13,'2024-04-03 12:25:02.677375',13,NULL,true,'message',13,'general',"'{""keyword"": ""alert"", ""context"": ""notification""}'",'{}','192.168.4.1','Laptop','Indianapolis'
14,14,'Update','Update message','lightgreen',14,'2024-04-03 12:25:02.677375',14,NULL,true,'message',14,'general',"'{""keyword"": ""update"", ""context"": ""information""}'",'{}','10.4.4.1','Desktop','San Francisco'
15,15,'Reminder','Reminder message','lightblue',15,'2024-04-03 12:25:02.677375',15,NULL,true,'message',15,'general',"'{""keyword"": ""reminder"", ""context"": ""time-sensitive""}'",'{}','172.16.0.5','Desktop','Columbus'
16,16,'Promotion','Promotional message','lightpink',16,'2024-04-03 12:25:02.677375',16,NULL,true,'message',16,'general',"'{""keyword"": ""promotion"", ""context"": ""marketing""}'",'{}','192.168.5.1','Desktop','Charlotte'
17,17,'Issue','Issue message','lightcoral',17,'2024-04-03 12:25:02.677375',17,NULL,true,'message',17,'general',"'{""keyword"": ""issue"", ""context"": ""problem""}'",'{}','10.5.5.1','Laptop','Fort Worth'
18,8,'Event','Event message','lightgrey',18,'2024-04-03 12:25:02.677375',18,NULL,true,'message',8,'general',"'{""keyword"": ""event"", ""context"": ""occasion""}'",'{}','172.16.0.6','Desktop','Detroit'
19,9,'Feedback','Feedback message','lightsalmon',19,'2024-04-03 12:25:02.677375',19,NULL,true,'message',9,'general',"'{""keyword"": ""feedback"", ""context"": ""response""}'",'{}','192.168.6.1','Desktop','El Paso'
20,10,'Announcement','Announcement message','lightsteelblue',20,'2024-04-03 12:25:02.677375',10,NULL,true,'message',10,'general',"'{""keyword"": ""announcement"", ""context"": ""notification""}'",'{}','10.6.6.1','Desktop','New York'
