1,1,1,'Spam content','2024-04-03 12:25:02.677375',true,2,'2024-03-06 12:30:00','Resolved by warning the user.',1,'Spam','Message',1234,'Warning issued','2024-03-06 12:30:00','127.0.0.1',2,5678,4,'Inappropriate Content','This message contains inappropriate language.',"'{""attachment1"": ""url1"", ""attachment2"": ""url2""}'",3,'Web','User warned about content.',true,'Automatic',2,3,"'{""history1"": ""action1"", ""history2"": ""action2""}'"
2,2,5,'Harassment','2024-04-03 12:25:02.677375',true,1,'2024-03-06 13:45:00','Investigating further actions.',2,'Harassment','Message',5678,'Under investigation',NULL,'192.168.1.1',3,9876,5,'Abuse','This message contains offensive language.',"'{""attachment3"": ""url3"", ""attachment4"": ""url4""}'",4,'Mobile','User reported for harassment.',false,'Manual',3,NULL,"'{""history3"": ""action3"", ""history4"": ""action4""}'"
3,3,9,'Misinformation','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',1,'Misinformation','Message',9876,NULL,NULL,'10.0.0.1',4,2468,3,'False Information','This message spreads false information.',NULL,2,'Web','User flagged for spreading misinformation.',true,'Automatic',1,NULL,"'{""history5"": ""action5"", ""history6"": ""action6""}'"
4,4,1,'Violence','2024-04-03 12:25:02.677375',true,3,'2024-03-06 14:20:00','Message removed from platform.',3,'Violence','Message',1357,'Message removed','2024-03-06 14:20:00','172.16.0.1',1,3579,2,'Graphic Content','This message contains violent images.',"'{""attachment5"": ""url5"", ""attachment6"": ""url6""}'",5,'Web','User account suspended.',true,'Manual',2,2,"'{""history7"": ""action7"", ""history8"": ""action8""}'"
5,5,2,'Privacy Violation','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',2,'Privacy','Message',2468,NULL,NULL,'192.168.0.1',5,1234,1,'Privacy Breach','This message contains personal information.',NULL,1,'Mobile','User reminded about privacy policies.',false,'Manual',3,4,"'{""history9"": ""action9"", ""history10"": ""action10""}'"
6,6,3,'Inappropriate Content','2024-04-03 12:25:02.677375',true,4,'2024-03-06 15:10:00','Content removed as per community guidelines.',1,'Spam','Message',3579,'Content removed','2024-03-06 15:10:00','10.1.1.1',2,5678,4,'Inappropriate Content','This message contains explicit images.',"'{""attachment7"": ""url7"", ""attachment8"": ""url8""}'",2,'Web','User warned about inappropriate content.',true,'Manual',1,NULL,"'{""history11"": ""action11"", ""history12"": ""action12""}'"
7,7,4,'Abuse','2024-04-03 12:25:02.677375',true,5,'2024-03-06 15:55:00','User account suspended.',3,'Abuse','User',4689,'Account suspended','2024-03-06 15:55:00','172.16.0.2',6,NULL,3,'Harassment','User has been harassing other members.',NULL,3,'Web','User account suspended for violating community guidelines.',true,'Automatic',2,3,"'{""history13"": ""action13"", ""history14"": ""action14""}'"
8,8,5,'Spam content','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',1,'Spam','Message',5791,NULL,NULL,'192.168.0.2',7,2468,2,'Inappropriate Content','This message is promotional.',NULL,4,'Mobile','Content flagged as spam.',false,'Manual',1,NULL,"'{""history15"": ""action15"", ""history16"": ""action16""}'"
9,9,12,'Harassment','2024-04-03 12:25:02.677375',true,2,'2024-03-06 17:30:00','User warned about behavior.',2,'Harassment','User',1234,'Warning issued','2024-03-06 17:30:00','10.0.0.2',8,4689,5,'Abuse','User has been harassing others.',NULL,1,'Web','User warned about harassing behavior.',true,'Automatic',2,4,"'{""history17"": ""action17"", ""history18"": ""action18""}'"
10,10,2,'Misinformation','2024-04-03 12:25:02.677375',true,3,'2024-03-06 18:20:00','Message corrected.',1,'Misinformation','Message',2468,'Correction issued','2024-03-06 18:20:00','172.16.0.3',9,5791,3,'False Information','This message contained incorrect facts.',NULL,5,'Mobile','Message misinformation corrected.',true,'Manual',3,NULL,"'{""history19"": ""action19"", ""history20"": ""action20""}'"
11,11,3,'Violence','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',3,'Violence','User',3579,NULL,NULL,'10.1.1.2',1,1357,2,'Graphic Content','User has shared violent images.',NULL,2,'Web','User flagged for violent content.',false,'Manual',2,3,"'{""history21"": ""action21"", ""history22"": ""action22""}'"
12,12,4,'Privacy Violation','2024-04-03 12:25:02.677375',true,4,'2024-03-06 19:40:00','User reminded about privacy policies.',2,'Privacy','User',4689,'Reminder issued','2024-03-06 19:40:00','192.168.1.2',2,4689,4,'Privacy Breach','User shared personal information.',NULL,3,'Web','User reminded about privacy concerns.',false,'Automatic',1,NULL,"'{""history23"": ""action23"", ""history24"": ""action24""}'"
13,13,15,'Inappropriate Content','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',1,'Spam','Message',5791,NULL,NULL,'10.2.2.2',3,3579,5,'Inappropriate Content','This message is spam.',NULL,2,'Mobile','Content flagged as inappropriate.',false,'Manual',2,2,"'{""history25"": ""action25"", ""history26"": ""action26""}'"
14,14,12,'Abuse','2024-04-03 12:25:02.677375',true,5,'2024-03-06 20:15:00','User warned about abusive behavior.',3,'Abuse','User',1234,'Warning issued','2024-03-06 20:15:00','192.168.2.2',4,5791,3,'Harassment','User has been abusing others.',NULL,1,'Web','User warned about abusive behavior.',true,'Automatic',2,4,"'{""history27"": ""action27"", ""history28"": ""action28""}'"
15,15,8,'Spam content','2024-04-03 12:25:02.677375',true,1,'2024-03-06 21:00:00','Message removed due to spam.',1,'Spam','Message',2468,'Content removed','2024-03-06 21:00:00','172.16.0.4',5,1357,4,'Inappropriate Content','This message is promotional spam.',NULL,2,'Web','Spam message removed.',true,'Manual',1,NULL,"'{""history29"": ""action29"", ""history30"": ""action30""}'"
16,16,9,'Harassment','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',2,'Harassment','User',3579,NULL,NULL,'10.1.1.3',1,5791,2,'Abuse','User has been harassing others.',NULL,4,'Web','User reported for harassment.',false,'Automatic',2,3,"'{""history31"": ""action31"", ""history32"": ""action32""}'"
17,17,4,'Misinformation','2024-04-03 12:25:02.677375',true,2,'2024-03-06 22:30:00','User warned about sharing misinformation.',1,'Misinformation','User',4689,'Warning issued','2024-03-06 22:30:00','192.168.1.3',3,1234,5,'False Information','User shared incorrect information.',NULL,5,'Web','User warned about spreading misinformation.',true,'Automatic',1,NULL,"'{""history33"": ""action33"", ""history34"": ""action34""}'"
18,18,5,'Violence','2024-04-03 12:25:02.677375',false,NULL,NULL,'None',3,'Violence','Message',5791,NULL,NULL,'10.2.2.3',4,2468,2,'Graphic Content','This message contains violent images.',NULL,2,'Mobile','Content flagged for violence.',false,'Manual',2,2,"'{""history35"": ""action35"", ""history36"": ""action36""}'"
19,19,14,'Privacy Violation','2024-04-03 12:25:02.677375',true,5,'2024-03-06 23:45:00','User suspended for privacy breach.',2,'Privacy','User',1234,'Account suspended','2024-03-06 23:45:00','172.16.0.5',5,5791,4,'Privacy Breach','User shared sensitive information.',NULL,1,'Web','User account suspended for privacy violation.',true,'Automatic',2,4,"'{""history37"": ""action37"", ""history38"": ""action38""}'"
20,20,10,'Abuse','2024-04-03 12:25:02.677375',true,1,'2024-03-07 00:20:00','User account suspended due to abusive behavior.',3,'Abuse','User',2468,'Account suspended','2024-03-07 00:20:00','192.168.2.3',1,4689,5,'Harassment','User has been abusive towards others.',NULL,3,'Web','User account suspended for abusive behavior.',true,'Manual',1,NULL,"'{""history39"": ""action39"", ""history40"": ""action40""}'"
