1,1,'Tech Enthusiasts','A group for discussing the latest technology trends and innovations.','2024-04-03 12:25:02.677375',NULL,true,'Public','Open',50,100,true,"'Pending Requests: JohnDoe, JaneSmith'","'Admins: TechGuru123, GeekGirl456'",1,"'Members: Alice, Bob, Charlie'","'Settings: General Discussion, Project Updates'","'{""key1"": ""value1""}'"
2,2,'Fitness Freaks',"'Join us to share workout routines, nutrition tips, and fitness challenges!'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',30,50,false,'Pending Requests: FitnessFanatic007',"'Admins: GymBuff99, HealthNut123'",2,"'Members: Sarah, Mike, Lisa'","'Settings: Weekly Challenges, Nutrition Corner'","'{""key2"": ""value2""}'"
3,3,'Book Lovers Club',"'A community dedicated to discussing books, authors, and literary events.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',80,150,true,"'Pending Requests: Bookworm88, ReadingQueen'","'Admins: LitGeek789, NovelNerd456'",3,"'Members: Emily, David, Olivia'","'Settings: Monthly Book Picks, Author Q&A Sessions'","'{""key3"": ""value3""}'"
4,4,'Travel Explorers',"'Share your travel experiences, tips, and bucket list destinations with fellow wanderers!'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',40,80,true,'Pending Requests: Globetrotter99',"'Admins: AdventureSeeker123, JourneyJunkie456'",4,"'Members: Ryan, Samantha, Alex'","'Settings: Travelogues, Destination Recommendations'","'{""key4"": ""value4""}'"
5,5,'Foodie Network',"'Connect with food enthusiasts to discover new recipes, restaurants, and culinary adventures.'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',25,40,false,'Pending Requests: GourmetChef123',"'Admins: FoodFan456, CuisineConnoisseur789'",5,"'Members: Emma, James, Lily'","'Settings: Recipe Sharing, Restaurant Reviews'","'{""key5"": ""value5""}'"
6,6,'Photography Society',"'A group for sharing photography tips, techniques, and showcasing your best shots.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',60,120,true,'Pending Requests: Shutterbug456',"'Admins: PhotoPro789, CameraEnthusiast123'",6,"'Members: Noah, Sophia, Ethan'","'Settings: Photo Contests, Editing Workshops'","'{""key6"": ""value6""}'"
7,7,'Entrepreneurial Minds',"'Connect with like-minded entrepreneurs to discuss startups, business strategies, and success stories.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',70,130,false,"'Pending Requests: StartupWhiz123, BizBuilder456'","'Admins: BusinessGuru789, StartupSavvy456'",7,"'Members: Mia, Jacob, Ava'","'Settings: Business Networking, Mentorship Programs'","'{""key7"": ""value7""}'"
8,8,'Gaming Community',"'Join fellow gamers for discussions on gaming news, reviews, and multiplayer sessions.'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',35,60,false,'Pending Requests: GameMaster99',"'Admins: GamerGirl123, ConsoleKing456'",8,"'Members: Logan, Isabella, Aiden'","'Settings: Game Tournaments, Discord Server'","'{""key8"": ""value8""}'"
9,9,'Artistic Creations',"'A creative hub for artists to share their work, seek feedback, and collaborate on projects.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',50,100,true,'Pending Requests: ArtEnthusiast123',"'Admins: CreativeMind456, ArtisticSoul789'",9,"'Members: Harper, Benjamin, Zoey'","'Settings: Art Challenges, Workshop Events'","'{""key9"": ""value9""}'"
10,10,'Movie Buffs Society',"'Discuss your favorite films, upcoming releases, and cinematic masterpieces with fellow cinephiles.'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',45,70,true,'Pending Requests: CinemaFanatic456',"'Admins: FilmBuff789, MovieManiac123'",10,"'Members: Mia, Liam, Amelia'","'Settings: Movie Nights, Film Debates'","'{""key10"": ""value10""}'"
11,11,'Music Enthusiasts Club',"'Share your passion for music, discover new genres, and discuss your favorite artists and albums.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',55,110,false,'Pending Requests: MusicLover88',"'Admins: MelodyMaker123, HarmonicHarmony456'",11,"'Members: Elijah, Charlotte, Lucas'","'Settings: Playlist Exchanges, Concert Meetups'","'{""key11"": ""value11""}'"
12,12,'Fashion Trends Forum',"'Connect with fashionistas worldwide to explore the latest fashion trends, styling tips, and designer collections.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',65,120,false,'Pending Requests: TrendSetter456',"'Admins: StyleIcon789, FashionFanatic123'",12,"'Members: Olivia, Ethan, Isabella'","'Settings: Fashion Challenges, Runway Reviews'","'{""key12"": ""value12""}'"
13,13,'Health & Wellness Hub',"'Join us to discuss holistic health practices, wellness routines, and mindfulness techniques for a balanced lifestyle.'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',30,50,true,'Pending Requests: WellnessWarrior123',"'Admins: HealthHero456, WellnessWizard789'",13,"'Members: Liam, Ava, Mason'","'Settings: Yoga Sessions, Wellness Workshops'","'{""key13"": ""value13""}'"
14,14,'Science & Tech Innovators',"'A community for science enthusiasts and tech innovators to share breakthroughs, research findings, and futuristic ideas.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',75,140,true,"'Pending Requests: ScienceGeek456, TechInnovator789'","'Admins: ResearchNerd123, FutureVisionary456'",14,"'Members: Grace, Oliver, Mia'","'Settings: Tech Talks, Innovation Challenges'","'{""key14"": ""value14""}'"
15,15,'Parenting Support Group',"'Connect with fellow parents to share parenting tips, advice, and experiences in raising children.'",'2024-04-03 12:25:02.677375',NULL,true,'Private','Closed',40,65,false,'Pending Requests: ParentingPro123',"'Admins: MomLife456, DadZone789'",15,"'Members: Sophia, William, Harper'","'Settings: Parenting Webinars, Family Events'","'{""key15"": ""value15""}'"
16,16,'Cooking Club',"'Join us to explore culinary delights, swap recipes, and master cooking techniques with fellow food enthusiasts.'",'2024-04-03 12:25:02.677375',NULL,true,'Public','Open',85,95,false,'Pending Requests: ChefExtraordinaire123',"'Admins: MasterChef456, CulinaryArtist789'",16,"'Members: Emma, James, Lily'","'Settings: Recipe Exchanges, Cooking Challenges'","'{""key16"": ""value16""}'"
