101,'Effective Communication Skills Workshop','Improve communication skills in the workplace.','2024-03-10','Conference Room A','http://example.com/communication-workshop','John Smith',3.50,true,'2024-03-05','http://example.com/register','Active','http://example.com/feedback','Workshop materials will be provided at the venue.'
102,'Project Management Basics','Introduction to project management principles.','2024-03-15','Training Room B','http://example.com/project-management-basics','Emily Johnson',4.00,true,'2024-03-10','http://example.com/register','Active','http://example.com/feedback','Slides and handouts will be distributed during the session.'
103,'Software Development Best Practices','Learn about best practices in software development.','2024-03-20','Online (Webinar)','http://example.com/software-dev-best-practices','David Lee',2.50,false,'2024-03-18','http://example.com/register','Active','http://example.com/feedback','A link to the webinar will be provided via email.'
104,'Financial Planning Workshop','Tips for personal financial planning.','2024-03-25','Auditorium','http://example.com/financial-planning-workshop','Sarah Thompson',2.00,true,'2024-03-20','http://example.com/register','Active','http://example.com/feedback','Printed materials will be distributed at the workshop.'
105,'Leadership Development Seminar','Develop leadership skills for career advancement.','2024-03-30','Training Room C','http://example.com/leadership-seminar','Michael Brown',3.00,true,'2024-03-25','http://example.com/register','Active','http://example.com/feedback','Handouts will be available for download on the registration page.'
106,'Cybersecurity Awareness Training','Learn about cybersecurity threats and prevention measures.','2024-04-05','Conference Room B','http://example.com/cybersecurity-training','Jessica Garcia',2.50,true,'2024-04-01','http://example.com/register','Active','http://example.com/feedback','Training materials will be accessible online.'
107,'Sales Techniques Workshop','Master effective sales techniques.','2024-04-10','Training Room A','http://example.com/sales-techniques-workshop','Andrew Wilson',4.00,true,'2024-04-05','http://example.com/register','Active','http://example.com/feedback','Presentation slides will be shared after the workshop.'
108,'Time Management Seminar','Improve time management skills for increased productivity.','2024-04-15','Online (Webinar)','http://example.com/time-management-seminar','Karen Martinez',2.00,false,'2024-04-12','http://example.com/register','Active','http://example.com/feedback','Webinar recording will be available for viewing.'
109,'Conflict Resolution Training','Learn strategies for resolving conflicts in the workplace.','2024-04-20','Auditorium','http://example.com/conflict-resolution-training','Daniel Adams',3.50,true,'2024-04-15','http://example.com/register','Active','http://example.com/feedback','Training materials will be provided electronically.'
110,'Customer Service Excellence Workshop','Deliver exceptional customer service.','2024-04-25','Training Room B','http://example.com/customer-service-workshop','Rachel Clark',3.00,true,'2024-04-20','http://example.com/register','Active','http://example.com/feedback','Participants will receive a handbook.'
111,'Presentation Skills Training','Enhance presentation skills for effective communication.','2024-04-30','Conference Room A','http://example.com/presentation-skills-training','Mark Taylor',2.50,true,'2024-04-25','http://example.com/register','Active','http://example.com/feedback','Video recordings of presentations will be provided.'
112,'Diversity and Inclusion Workshop','Promote diversity and inclusion in the workplace.','2024-05-05','Training Room C','http://example.com/diversity-inclusion-workshop','Laura Roberts',3.00,true,'2024-05-01','http://example.com/register','Active','http://example.com/feedback','Discussion guides will be distributed.'
113,'Stress Management Seminar','Learn techniques for managing stress effectively.','2024-05-10','Auditorium','http://example.com/stress-management-seminar','Chris Evans',2.00,true,'2024-05-05','http://example.com/register','Active','http://example.com/feedback','Handouts will be provided at the venue.'
114,'Team Building Workshop','Build stronger teams and foster collaboration.','2024-05-15','Training Room A','http://example.com/team-building-workshop','Emma White',4.00,true,'2024-05-10','http://example.com/register','Active','http://example.com/feedback','Team-building exercises will be conducted.'
115,'Effective Email Communication Training','Learn how to write clear and concise emails.','2024-05-20','Online (Webinar)','http://example.com/email-communication-training','James Rodriguez',2.50,false,'2024-05-17','http://example.com/register','Active','http://example.com/feedback','Webinar materials will be available for download.'
116,'Problem-Solving Skills Workshop','Develop problem-solving skills for resolving issues.','2024-05-25','Conference Room B','http://example.com/problem-solving-workshop','Olivia Moore',3.00,true,'2024-05-20','http://example.com/register','Active','http://example.com/feedback','Case studies will be provided for practice.'
117,'Business Writing Seminar','Improve written communication skills for business purposes.','2024-05-30','Training Room B','http://example.com/business-writing-seminar','William Thompson',2.00,true,'2024-05-25','http://example.com/register','Active','http://example.com/feedback','Writing samples will be reviewed during the seminar.'
118,'Leadership Skills Training','Develop essential leadership skills for career growth.','2024-06-05','Auditorium','http://example.com/leadership-skills-training','Sophia Martinez',3.50,true,'2024-06-01','http://example.com/register','Active','http://example.com/feedback','Leadership assessment tool will be provided.'
119,'Effective Meeting Management Workshop','Learn techniques for planning and leading effective meetings.','2024-06-10','Conference Room A','http://example.com/meeting-management-workshop','Ethan Brown',3.00,true,'2024-06-05','http://example.com/register','Active','http://example.com/feedback','Meeting agenda templates will be provided.'
120,'Time Tracking and Productivity Seminar','Enhance time tracking and productivity skills.','2024-06-15','Training Room C','http://example.com/time-tracking-seminar','Ava Garcia',2.50,true,'2024-06-10','http://example.com/register','Active','http://example.com/feedback','Productivity tools will be recommended during the seminar.'
