1,'Bank of America','USA','123456789','BOFAUS3N',"'123 Main St, New York, USA'",'+1-800-123-4567','www.bankofamerica.com'
2,'JP Morgan Chase','USA','987654321','CHASUS33',"'456 Broadway, New York, USA'",'+1-800-987-6543','www.jpmorganchase.com'
3,'Wells Fargo','USA','456789012','WFBIUS6S',"'789 Oak St, San Francisco, USA'",'+1-800-456-7890','www.wellsfargo.com'
4,'HSBC','UK','987654321','HSBCGB2L',"'123 Oxford St, London, UK'",'+44-20-1234-5678','www.hsbc.co.uk'
5,'Deutsche Bank','Germany','123456789','DEUTDEFF',"'456 Berlin Strasse, Berlin, Germany'",'+49-30-9876-5432','www.deutschebank.de'
6,'BNP Paribas','France','987654321','BNPAFRPP',"'789 Champs-Elysées, Paris, France'",'+33-1-2345-6789','www.bnpparibas.fr'
7,'CitiBank','USA','456789012','CITIUS33',"'123 Wall St, New York, USA'",'+1-800-345-6789','www.citibank.com'
8,'Barclays','UK','987654321','BARCGB22',"'456 Canary Wharf, London, UK'",'+44-20-8765-4321','www.barclays.co.uk'
9,'Santander','Spain','123456789','BSCHESMM',"'123 Gran Via, Madrid, Spain'",'+34-91-234-5678','www.santander.com'
10,'UBS','Switzerland','987654321','UBSWCHZH',"'456 Bahnhofstrasse, Zurich, Switzerland'",'+41-44-987-6543','www.ubs.com'
11,'Bank of China','China','123456789','BKCHCNBJ',"'123 Beijing Lu, Beijing, China'",'+86-10-1234-5678','www.bankofchina.com'
12,'Mitsubishi UFJ Financial Group','Japan','987654321','BOTKJPJT',"'456 Tokyo St, Tokyo, Japan'",'+81-3-9876-5432','www.mufg.jp'
13,'Royal Bank of Canada','Canada','123456789','ROYCCAT2',"'123 Bay St, Toronto, Canada'",'+1-800-123-4567','www.rbcroyalbank.com'
14,'Commonwealth Bank','Australia','987654321','CTBAAU2S',"'456 George St, Sydney, Australia'",'+61-2-9876-5432','www.commbank.com.au'
15,'Bank of Communications','China','123456789','COMMCNSH',"'123 Shanghai Lu, Shanghai, China'",'+86-21-1234-5678','www.bankcomm.com'
16,'Standard Chartered','UK','987654321','SCBLGB2L',"'456 Bishopsgate, London, UK'",'+44-20-8765-4321','www.sc.com'
17,'ING Group','Netherlands','123456789','INGBNL2A',"'123 Amsterdam Avenue, Amsterdam, Netherlands'",'+31-20-123-4567','www.ing.com'
18,'Credit Suisse','Switzerland','987654321','CSWICHZZ',"'456 Paradeplatz, Zurich, Switzerland'",'+41-44-987-6543','www.credit-suisse.com'
19,'Nordea','Sweden','123456789','NDEASESS',"'123 Hamngatan, Stockholm, Sweden'",'+46-8-123-4567','www.nordea.se'
20,'Scotiabank','Canada','987654321','NOSCCATT',"'456 King St, Toronto, Canada'",'+1-800-987-6543','www.scotiabank.com'
