1,'Global Equity Fund','GEF',1000000.00,5000.00,0.50,'A diversified equity fund investing globally','John Smith','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
2,'Fixed Income Fund','FIF',500000.00,-2000.00,-0.40,'A fixed income fund focusing on government bonds','Jane Doe','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
3,'Real Estate Fund','REF',750000.00,10000.00,1.30,'A real estate fund investing in commercial properties','Robert Johnson','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
4,'Technology Fund','TEF',1200000.00,8000.00,0.67,'A technology sector fund concentrating on growth stocks','Emily Brown','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
5,'Healthcare Fund','HCF',900000.00,-5000.00,-0.55,'A healthcare sector fund investing in pharmaceuticals and biotech','Michael Wilson','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
6,'Energy Fund','ENF',800000.00,6000.00,0.75,"'An energy sector fund focusing on oil, gas, and renewable energy'",'Sophia Martinez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
7,'Emerging Markets Fund','EMF',650000.00,3000.00,0.46,"'A fund investing in emerging markets across Asia, Africa, and Latin America'",'Daniel Rodriguez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
8,'Consumer Goods Fund','CGF',1100000.00,7000.00,0.64,'A consumer goods sector fund concentrating on retail and FMCG companies','Olivia Garcia','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
9,'Infrastructure Fund','INF',850000.00,-4000.00,-0.47,"'An infrastructure fund investing in transportation, utilities, and public works projects'",'William Johnson','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
10,'Small Cap Fund','SCF',700000.00,9000.00,1.29,'A fund focusing on small-cap companies with high growth potential','Isabella Brown','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
11,'Global Balanced Fund','GBF',1500000.00,-3000.00,-0.20,'A balanced fund investing in a mix of equities and fixed income securities globally','Liam Wilson','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
12,'Commodities Fund','COF',1000000.00,4000.00,0.40,"'A fund investing in commodities such as gold, silver, and oil'",'Ethan Rodriguez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
13,'Dividend Growth Fund','DGF',800000.00,7000.00,0.88,'A fund focusing on dividend-paying stocks with potential for growth','Amelia Martinez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
14,'Sustainable Investing Fund','SIF',950000.00,-2000.00,-0.21,'An environmentally and socially responsible investment fund','Mia Rodriguez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
15,'Global Real Assets Fund','GRAF',1200000.00,10000.00,0.84,"'A fund investing in real assets such as real estate, infrastructure, and natural resources'",'Noah Garcia','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
16,'Government Bond Fund','GBF',600000.00,5000.00,0.83,'A fund investing in government bonds issued by developed countries','Ava Martinez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
17,'Healthcare Innovation Fund','HIF',850000.00,-6000.00,-0.70,'A fund focusing on innovative healthcare companies and technologies','Lucas Brown','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
18,'European Equity Fund','EEF',700000.00,8000.00,1.15,'A fund investing in European equities across various sectors','Charlotte Wilson','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
19,'Asia Pacific Fund','APF',750000.00,4000.00,0.53,'A fund focusing on equities from Asia Pacific region','Harper Garcia','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
20,'High-Yield Bond Fund','HYBF',850000.00,10000.00,1.19,'A fund investing in high-yield corporate bonds','Logan Rodriguez','2024-04-03 12:35:26.424514','2024-04-03 12:35:26.424514'
